,age,choice,createdAt,question,step,user,result,topic,ageGroup
14637,12,left,2019-05-28 12:19:52.913000+00:00,C_H_F_CO,38,d09631e3,color,cards,11-13
10956,12,left,2019-05-28 12:19:53.034000+00:00,C_H_F_CT,25,a3344a41,color,cards,11-13
8027,12,right,2019-05-28 12:19:53.112000+00:00,C_H_F_OT,23,6a36b606,orientation,cards,11-13
14631,12,right,2019-05-28 12:19:54.360000+00:00,C_H_F_CO,38,d09631e3,orientation,cards,11-13
550,12,right,2019-05-28 12:19:55.294000+00:00,G_H_F_CO,25,1454962c,color,geometry,11-13
14669,12,right,2019-05-28 12:19:55.748000+00:00,C_H_M_CO,39,d09631e3,color,cards,11-13
10953,12,right,2019-05-28 12:19:56.015000+00:00,C_H_F_OT,26,a3344a41,orientation,cards,11-13
14649,12,right,2019-05-28 12:19:56.865000+00:00,A_H_F_CT,40,d09631e3,color,animals,11-13
555,12,left,2019-05-28 12:19:57.633000+00:00,G_H_F_CT,26,1454962c,color,geometry,11-13
14656,12,left,2019-05-28 12:19:57.991000+00:00,A_H_F_CT,40,d09631e3,type,animals,11-13
14654,12,left,2019-05-28 12:19:59.408000+00:00,A_H_M_CT,41,d09631e3,type,animals,11-13
552,12,right,2019-05-28 12:20:00.461000+00:00,G_H_M_OT,27,1454962c,type,geometry,11-13
14645,12,right,2019-05-28 12:20:00.645000+00:00,G_H_F_OT,42,d09631e3,type,geometry,11-13
10931,12,left,2019-05-28 12:20:00.810000+00:00,G_H_M_OT,27,a3344a41,orientation,geometry,11-13
14668,12,left,2019-05-28 12:20:01.785000+00:00,C_H_F_CO,43,d09631e3,color,cards,11-13
8034,12,right,2019-05-28 12:20:02.072000+00:00,G_H_F_OT,24,6a36b606,type,geometry,11-13
542,12,left,2019-05-28 12:20:02.872000+00:00,G_H_M_CO,28,1454962c,orientation,geometry,11-13
10868,11,left,2019-05-28 12:20:03.042000+00:00,G_E_F_C,0,a2289c75,correct,geometry,11-13
14658,12,right,2019-05-28 12:20:03.225000+00:00,A_H_F_CT,44,d09631e3,color,animals,11-13
10926,12,right,2019-05-28 12:20:04.465000+00:00,G_H_M_CO,28,a3344a41,color,geometry,11-13
8038,12,right,2019-05-28 12:20:04.714000+00:00,G_H_F_CO,25,6a36b606,color,geometry,11-13
14629,12,left,2019-05-28 12:20:04.801000+00:00,A_H_F_OT,45,d09631e3,type,animals,11-13
560,12,right,2019-05-28 12:20:05.592000+00:00,G_H_M_CT,29,1454962c,type,geometry,11-13
14640,12,right,2019-05-28 12:20:05.978000+00:00,A_H_F_OT,45,d09631e3,orientation,animals,11-13
10951,12,left,2019-05-28 12:20:06.855000+00:00,G_H_M_CT,29,a3344a41,color,geometry,11-13
8060,12,right,2019-05-28 12:20:07.258000+00:00,G_H_F_CT,26,6a36b606,type,geometry,11-13
14644,12,right,2019-05-28 12:20:08.093000+00:00,A_H_M_OT,46,d09631e3,orientation,animals,11-13
591,12,left,2019-05-28 12:20:08.242000+00:00,C_H_M_CO,30,1454962c,orientation,cards,11-13
14618,12,left,2019-05-28 12:20:09.435000+00:00,C_H_F_CT,47,d09631e3,color,cards,11-13
10962,12,right,2019-05-28 12:20:10.322000+00:00,C_H_M_CO,30,a3344a41,color,cards,11-13
14642,12,right,2019-05-28 12:20:10.628000+00:00,C_H_F_CT,47,d09631e3,type,cards,11-13
535,12,left,2019-05-28 12:20:11.640000+00:00,C_H_M_CT,31,1454962c,color,cards,11-13
14604,12,right,2019-05-28 12:20:12.187000+00:00,C_H_M_CT,48,d09631e3,type,cards,11-13
10958,12,left,2019-05-28 12:20:12.787000+00:00,C_H_M_CT,31,a3344a41,color,cards,11-13
14628,12,right,2019-05-28 12:20:13.508000+00:00,G_H_F_CO,49,d09631e3,color,geometry,11-13
528,12,right,2019-05-28 12:20:13.900000+00:00,C_H_M_OT,32,1454962c,orientation,cards,11-13
14614,12,left,2019-05-28 12:20:14.865000+00:00,G_H_F_CO,49,d09631e3,orientation,geometry,11-13
14665,12,right,2019-05-28 12:20:17.010000+00:00,G_H_M_CO,50,d09631e3,color,geometry,11-13
10972,12,right,2019-05-28 12:20:17.461000+00:00,C_H_M_OT,32,a3344a41,orientation,cards,11-13
8043,12,right,2019-05-28 12:20:17.754000+00:00,A_H_M_CT,27,6a36b606,color,animals,11-13
540,12,right,2019-05-28 12:20:17.986000+00:00,A_H_M_CT,33,1454962c,color,animals,11-13
14643,12,right,2019-05-28 12:20:19.942000+00:00,A_H_F_OT,51,d09631e3,orientation,animals,11-13
4900,12,left,2019-05-28 12:20:20.864000+00:00,G_E_F_C,0,495c9457,correct,geometry,11-13
10874,11,right,2019-05-28 12:20:21.018000+00:00,G_E_F_T,1,a2289c75,correct,geometry,11-13
573,12,right,2019-05-28 12:20:21.546000+00:00,A_H_M_OT,34,1454962c,orientation,animals,11-13
14646,12,right,2019-05-28 12:20:22.448000+00:00,C_H_F_CT,52,d09631e3,type,cards,11-13
16033,12,left,2019-05-28 12:20:23.106000+00:00,G_E_F_C,0,e9a4d0fa,correct,geometry,11-13
4908,12,right,2019-05-28 12:20:24.670000+00:00,G_E_F_T,1,495c9457,correct,geometry,11-13
14650,12,left,2019-05-28 12:20:26.257000+00:00,G_H_F_CO,53,d09631e3,orientation,geometry,11-13
10952,12,right,2019-05-28 12:20:26.550000+00:00,A_H_M_CT,33,a3344a41,color,animals,11-13
10878,11,left,2019-05-28 12:20:27.432000+00:00,G_E_F_O,2,a2289c75,correct,geometry,11-13
4905,12,left,2019-05-28 12:20:27.470000+00:00,G_E_F_O,2,495c9457,correct,geometry,11-13
16056,12,right,2019-05-28 12:20:27.781000+00:00,G_E_F_T,1,e9a4d0fa,correct,geometry,11-13
14663,12,left,2019-05-28 12:20:28.125000+00:00,C_H_F_OT,54,d09631e3,type,cards,11-13
8021,12,left,2019-05-28 12:20:28.859000+00:00,A_H_M_OT,28,6a36b606,type,animals,11-13
14676,12,right,2019-05-28 12:20:29.197000+00:00,C_H_F_OT,54,d09631e3,orientation,cards,11-13
10925,12,left,2019-05-28 12:20:29.519000+00:00,A_H_M_OT,34,a3344a41,type,animals,11-13
14622,12,left,2019-05-28 12:20:31.219000+00:00,C_H_M_OT,55,d09631e3,type,cards,11-13
8007,12,left,2019-05-28 12:20:31.566000+00:00,A_H_M_CO,29,6a36b606,orientation,animals,11-13
14619,12,left,2019-05-28 12:20:32.985000+00:00,G_H_F_CT,56,d09631e3,color,geometry,11-13
14605,12,right,2019-05-28 12:20:33.825000+00:00,G_H_F_CT,56,d09631e3,type,geometry,11-13
10921,12,right,2019-05-28 12:20:33.826000+00:00,A_H_M_CO,35,a3344a41,color,animals,11-13
14610,12,left,2019-05-28 12:20:35.505000+00:00,G_H_M_CT,57,d09631e3,color,geometry,11-13
10941,12,left,2019-05-28 12:20:36.435000+00:00,G_H_F_OT,36,a3344a41,orientation,geometry,11-13
4968,12,right,2019-05-28 12:20:36.906000+00:00,C_E_F_T,3,495c9457,correct,cards,11-13
16018,12,left,2019-05-28 12:20:37.391000+00:00,G_E_F_O,2,e9a4d0fa,correct,geometry,11-13
14664,12,left,2019-05-28 12:20:37.852000+00:00,A_H_F_CO,58,d09631e3,orientation,animals,11-13
13209,12,right,2019-05-28 12:20:38.832000+00:00,C_E_F_T,0,c210f5cf,correct,cards,11-13
14675,12,right,2019-05-28 12:20:39.135000+00:00,A_H_F_CO,58,d09631e3,color,animals,11-13
10994,12,right,2019-05-28 12:20:39.815000+00:00,G_H_F_OT,36,a3344a41,type,geometry,11-13
4919,12,left,2019-05-28 12:20:39.952000+00:00,C_E_F_C,4,495c9457,correct,cards,11-13
7996,12,right,2019-05-28 12:20:41.539000+00:00,G_H_M_OT,30,6a36b606,type,geometry,11-13
10893,11,left,2019-05-28 12:20:42.417000+00:00,A_E_F_T,3,a2289c75,correct,animals,11-13
